2.5019010000011033	[0.6390574  2.68311656 0.58842738]
2.5021010000011312	[0.61865435 2.17243512 0.5695689 ]
2.502301000001159	[0.61561419 1.71726855 0.56674976]
2.502501000001187	[0.62103089 1.32379325 0.57160718]
2.502701000001215	[0.61927379 1.00716223 0.56993877]
2.502901000001243	[0.62500801 0.73858187 0.57512883]
2.503101000001271	[0.63222955 0.52507653 0.58167767]
2.503301000001299	[0.63413714 0.37195926 0.5833681 ]
2.503501000001327	[0.63669071 0.23404056 0.58565468]
2.503701000001355	[0.64016164 0.12932957 0.58879135]
2.503901000001383	[0.64429672 0.04898581 0.59254032]
2.504101000001411	[ 0.64802577 -0.00819194  0.59590916]
2.5043010000014387	[ 0.64986421 -0.05140951  0.5975475 ]
2.5045010000014667	[ 0.65103567 -0.08300196  0.59858052]
2.5047010000014946	[ 0.65183895 -0.11271824  0.5992772 ]
2.5049010000015226	[ 0.6510839  -0.13691846  0.59854809]
2.5051010000015506	[ 0.65041143 -0.1595369   0.59789884]
2.5053010000015785	[ 0.64979561 -0.17988152  0.59730104]
2.5055010000016065	[ 0.64743429 -0.20174268  0.59510405]
2.5057010000016344	[ 0.6448973  -0.22328673  0.59274973]
2.5059010000016624	[ 0.6417518  -0.24626458  0.58983878]
2.5061010000016903	[ 0.6382761  -0.26959472  0.58662763]
2.5063010000017183	[ 0.63479512 -0.29258959  0.58341298]
2.5065010000017462	[ 0.63066336 -0.31505269  0.57960225]
2.506701000001774	[ 0.62649256 -0.33730326  0.57575688]
2.506901000001802	[ 0.62215803 -0.3586519   0.57176338]
2.50710100000183	[ 0.61752673 -0.37990311  0.56749853]
2.507301000001858	[ 0.61304364 -0.39984281  0.56336982] 
2.507501000001886	[ 0.60853255 -0.41896784  0.55921691] 
2.507701000001914	[ 0.60411269 -0.43694587  0.55514808] 
2.507901000001942	[ 0.59968704 -0.45375822  0.55107419] 
2.50810100000197	[ 0.59529806 -0.46966952  0.54703478] 
2.508301000001998	[ 0.5910802  -0.48454207  0.54315239] 
2.508501000002026	[ 0.58696318 -0.49850054  0.53936265] 
2.5087010000020538	[ 0.58299285 -0.51141605  0.53570785] 
2.5089010000020817	[ 0.57911386 -0.52328454  0.53213684]
2.5091010000021097	[ 0.57535464 -0.53426055  0.5286758 ]
2.5093010000021376	[ 0.57170262 -0.54421377  0.52531313]
2.5095010000021656	[ 0.56808271 -0.55336081  0.52197976]
2.5097010000021935	[ 0.56459475 -0.56157194  0.51876738]
